S;s;i;n_fo;fo_list;Avg_fo;Std_fo
20837;8907;4;20;[443551.41, 466457.09, 472763.64, 473254.12, 466507.99, 451512.41, 464164.44, 496294.38, 442579.84, 456802.84, 448295.26, 428775.18, 463991.29, 434281.02, 443313.44, 465376.66, 466687.11, 466523.63, 436630.06, 474840.04];458130.0925;16692.253529350823
18237;10727;4;20;[474292.11, 483931.31, 446695.1, 486776.06, 508056.6, 457352.49, 468376.64, 461450.22, 439150.78, 492791.62, 472091.67, 507206.75, 490442.7, 510099.29, 459739.59, 445418.51, 468263.38, 481645.48, 481420.44, 466992.32];475109.653;20611.98351801181
21357;8647;4;20;[479858.92, 432374.36, 453824.46, 450505.78, 459084.71, 449438.23, 424050.9, 425678.4, 467389.78, 441009.76, 420495.47, 440775.34, 438309.15, 469552.75, 424527.34, 496511.24, 433822.17, 470913.09, 462404.1, 459431.92];449997.8935;20744.97372429265
16677;8127;4;20;[522409.43, 507093.45, 508348.16, 451678.69, 501719.39999999997, 466386.50999999995, 490202.39, 455994.87999999995, 547878.07, 508035.64, 495516.43000000005, 454332.22, 503419.76999999996, 468457.31, 477197.21, 500887.93, 531881.39, 515072.75, 414864.52999999997, 497214.21];490929.5185;31594.6993886002
22917;8387;4;20;[446413.76, 408699.88, 435668.26, 445774.68, 434760.18, 360629.09, 427818.2, 418895.76, 453468.31, 384929.94, 389371.89, 415953.0, 425136.47, 391333.3, 397334.9, 432099.11, 416444.34, 430556.94, 455202.61, 420552.46];419552.154;24828.552308320857
21097;8127;4;20;[453750.39, 433397.04, 434434.74, 465399.64, 413427.94, 453367.56, 436439.21, 448628.26, 437924.63, 466208.97, 433448.11, 446143.45, 486199.81, 446949.5, 425589.21, 456497.12, 498835.44, 473804.1, 435978.74, 464461.96];450544.291;20913.797194191884
19277;7607;4;20;[491513.57, 483385.46, 495965.3, 481741.83, 470722.21, 488656.38, 477092.97, 489124.85, 445490.03, 483544.87, 493069.26, 497463.88999999996, 493410.54, 454674.91, 475186.34, 481049.94, 454267.5, 509446.87, 524195.48, 465362.09];482768.2145;18810.655392215296
21097;12287;4;20;[402850.5, 445841.08, 417654.25, 413910.27, 429770.02, 412660.09, 420677.85, 430586.75, 437128.75, 396802.91, 442323.06, 435873.08, 431975.23, 416605.43, 369288.88, 484555.37, 470985.08, 411444.29, 450372.82, 425394.87];427335.029;25433.37454566133
22917;10987;4;20;[426387.39, 429414.52, 364096.82, 443380.53, 437169.25, 400926.36, 365521.44, 417284.25, 411437.69, 435157.05, 439365.55, 431858.16, 419727.17, 362360.67, 363134.65, 406792.32, 414252.57, 414747.18, 386998.17, 414333.74];409217.274;26990.055225022654
21357;9167;4;20;[479858.92, 442880.95, 438295.17, 448579.36, 459084.71, 449438.23, 444820.73, 470535.98, 463592.91, 454036.58, 450863.71, 461724.68, 420326.3, 469552.75, 424527.34, 459877.76, 435665.67, 472547.25, 453303.03, 459545.35];452952.869;15564.269050559664
19797;12547;4;20;[395874.36, 399438.71, 388411.06, 420570.0, 453065.85, 432199.45, 443259.22, 468977.42, 416368.68, 455286.09, 399776.91, 427487.58, 424321.94, 396133.8, 456186.48, 456402.41, 452886.92, 435702.57, 402309.96, 412720.94];426869.0175;25006.875800672115
19017;13067;4;20;[419095.23, 429971.16, 410501.24, 421871.28, 424989.72, 402123.4, 440043.46, 411023.31, 425006.89, 440962.73, 420168.6, 399458.83, 419080.78, 386772.49, 409715.22, 414100.32, 438294.34, 416258.08, 415261.78, 425628.91];418516.3885;13594.752644569686
20837;8127;4;20;[438700.64, 455547.99, 462761.11, 469231.52, 466507.99, 452110.38, 453740.95, 496294.38, 431261.25, 456802.84, 454869.11, 491801.27, 473020.62, 414031.75, 456579.71, 454737.27, 423220.12, 466523.63, 462036.26, 462224.79];457100.179;19814.156776834803
23697;7867;4;20;[384432.22, 397393.38, 397902.52, 385881.54, 426381.07, 406341.35, 421426.79, 394943.19, 393341.02, 374867.06, 397503.26, 395923.51, 382102.85, 416120.75, 397559.88, 440103.71, 391481.09, 377681.05, 427990.45, 414642.25];401200.947;17927.87000651136
23437;7347;4;20;[405535.29, 424377.74, 401521.79, 398048.16, 375157.84, 437168.54, 420138.26, 458869.71, 391064.86, 383274.78, 396592.45, 385660.6, 356340.08, 398440.9, 361697.05, 391035.65, 458698.86, 432270.88, 422957.16, 392721.41];404578.6005;28267.018583890207
18497;12287;4;20;[465224.27, 468679.56, 418182.93, 431755.97, 476730.27, 420584.71, 466268.04, 456171.8, 453612.47, 445744.01, 455200.4, 427649.69, 443362.27, 437484.03, 469921.85, 435212.91, 463248.83, 432505.43, 466877.71, 431913.72];448316.5435;18092.24082467232
17197;6827;4;20;[478095.26, 476426.77, 484251.47, 495206.6, 487883.57, 469218.86, 489325.7, 461231.57, 504425.5, 497031.77, 476296.67, 513550.43, 481494.33, 469706.87, 505222.69, 466843.57, 516683.16, 492565.79000000004, 473046.52999999997, 491927.29];486521.72;15678.20341736796
22397;10727;4;20;[463982.16, 415972.04, 420993.85, 403338.03, 444997.2, 399647.2, 438777.28, 402862.06, 451138.6, 379040.1, 449042.36, 404994.19, 385309.47, 429603.94, 427620.13, 442019.41, 373440.02, 379038.29, 435258.98, 403992.98];417553.4145;26836.97633782921
20577;7347;4;20;[467454.68, 460581.78, 468592.0, 461714.54, 452308.79, 480330.43, 456635.56, 475832.47, 485703.1, 453619.29000000004, 447960.44, 467861.64, 465793.76, 487695.5, 471841.99, 462822.49, 438740.15, 467603.03, 477226.57, 472317.45];466131.783;12418.902320719808
19797;6567;4;20;[472583.51, 474877.46, 500478.05, 461688.33, 539467.79, 470197.56, 503963.48, 458913.37, 489039.1, 458568.79, 446365.51, 482204.77, 470836.76, 449052.78, 522822.87, 522357.0, 457217.93, 515277.66000000003, 483029.35, 444047.92000000004];481149.4995;27978.28278694359
19017;9687;4;20;[458490.63, 475341.79, 521384.8, 489716.03, 471768.51, 459086.49, 507603.03, 509092.97, 459341.0, 474602.7, 425441.32, 477018.97, 489247.34, 516760.14, 458017.39999999997, 501919.51, 469461.67, 462354.75, 469944.79, 512027.01];480431.0425;24912.931834725576
17457;7087;4;20;[498376.97, 473426.06, 488039.16000000003, 460959.14, 465677.66000000003, 488861.39, 509056.46, 490922.69, 500476.06, 473998.56, 487250.35000000003, 518898.81, 504626.07, 485648.48, 490763.88, 508009.57999999996, 486429.24, 528341.24, 491938.5, 478636.66];491516.848;16990.566754070078
18237;7867;4;20;[487482.19, 502595.12, 514061.49, 492109.89, 492221.0, 501660.4, 487325.52, 483120.91, 453037.27, 518306.31, 500837.05, 492270.48000000004, 527506.19, 487659.01, 509148.11, 507345.33, 510530.5, 513035.9, 519318.97, 506479.2];500302.542;16660.733860607565
19797;12027;4;20;[470817.53, 447353.83, 440383.55, 474630.68, 438078.34, 465787.25, 427386.83, 451487.53, 445302.85, 448791.43, 474058.09, 461065.17, 473595.46, 423365.26, 440220.85, 437704.48, 435864.24, 452847.67, 492777.83, 406809.66];450416.4265;20751.637703731976
23437;8127;4;20;[405535.29, 424377.74, 401521.79, 398048.16, 375157.84, 437168.54, 420138.26, 458869.71, 391064.86, 383274.78, 396592.45, 385660.6, 363251.82, 398440.9, 361697.05, 391035.65, 458698.86, 432270.88, 422957.16, 392721.41];404924.1875;27682.43008403551
21097;7867;4;20;[453750.39, 433397.04, 409332.06, 465399.64, 413427.94, 453367.56, 436439.21, 448628.26, 437924.63, 466208.97, 433448.11, 436470.24, 486199.81, 436311.91, 425589.21, 456497.12, 498835.44, 473804.1, 435978.74, 464461.96];448273.617;22958.21392677646
17717;9427;4;20;[482105.46, 447765.97, 484684.72, 479730.83, 441409.51, 495759.29, 498235.64, 497276.31, 456468.09, 457114.13, 470170.26, 453478.5, 503263.32, 465329.86, 507602.25, 527064.61, 485428.16, 469801.8, 502872.13, 472164.13];479886.2485;22667.742294321022
16937;11507;4;20;[474630.63, 484793.97, 467530.2, 462743.39, 472760.03, 448690.2, 476998.34, 484703.38, 473828.17, 492495.13, 485162.74, 525034.6, 481475.81, 474381.05, 511893.9, 486893.01, 477860.7, 487062.92, 448099.2, 511331.11];481418.424;19098.012538076306
19797;11507;4;20;[440361.63, 440352.53, 423566.25, 516534.49, 453707.29, 437345.22, 444415.66, 416141.89, 438723.44, 441567.13, 420870.62, 432643.01, 475955.22, 434719.45, 434876.85, 433745.68, 446528.35, 427563.71, 455725.38, 457885.29];443661.4545;22026.291170033823
20577;9947;4;20;[466154.36, 483988.5, 498502.06, 464538.66, 485163.7, 491967.55, 424120.94, 486664.06, 430269.23, 418802.72, 485012.06, 490543.21, 489576.74, 488290.74, 485904.43, 421208.73, 462899.06, 486032.55, 467196.94, 503520.36];471517.83;26890.648138057808
17197;7607;4;20;[489476.03, 526709.44, 547636.02, 502319.8, 498273.07, 511395.77, 507137.33, 514652.57, 502592.37, 487673.21, 489455.64, 497680.14, 490833.14, 520575.87, 478456.2, 483999.06, 478113.78, 480842.13, 481339.78, 504175.68];499666.8515;18077.981192122337
21877;10727;4;20;[437752.35, 347165.61, 470926.39, 459040.99, 476021.01, 455098.62, 466506.01, 409930.39, 467583.31, 471351.13, 415124.28, 469103.69, 472167.92, 461754.54, 480277.77, 408269.31, 411234.87, 428522.06, 453045.04, 403145.13];443201.021;34567.96280676523
22657;10467;4;20;[418851.55, 384008.64, 421937.33, 418700.48, 415639.45, 407546.02, 442875.21, 404002.55, 422469.73, 447828.11, 447745.76, 416954.53, 448956.54, 403770.77, 393865.99, 438945.79, 427764.42, 430322.33, 422333.05, 427850.87];422118.456;17922.363823856726
17977;10987;4;20;[464591.91, 480297.06, 468677.87, 460342.02, 454498.24, 448041.49, 454428.49, 502122.61, 470655.98, 459247.35, 426540.51, 491638.34, 449970.1, 496688.04, 501344.89, 473230.37, 461959.9, 500758.09, 474580.9, 459079.4];469934.678;20464.807971082715
21097;11247;4;20;[420695.0, 469600.7, 469507.12, 436390.15, 388612.87, 470119.62, 459114.95, 469883.72, 410927.22, 431672.14, 477680.17, 434976.29, 438713.94, 391667.29, 392787.6, 421018.99, 466198.23, 480604.94, 431149.14, 469490.95];441540.5515;30315.130400835416
21357;7087;4;20;[479858.92, 469836.95, 454374.46, 450505.78, 459084.71, 449438.23, 431135.78, 433431.55, 467389.78, 427969.55, 420495.47, 423204.33, 457328.08, 469552.75, 424527.34, 464222.16, 467851.83, 447149.12, 465785.78, 459202.32];451117.2445;18233.576450381308
18237;8127;4;20;[498076.43, 490279.14, 445271.21, 504085.35, 497750.54, 461198.25, 489507.33999999997, 499312.53, 517352.12, 495666.31, 504733.16, 518527.82, 511097.8, 478131.22, 494287.75, 477246.1, 513132.44, 501494.1, 479782.58999999997, 506796.26];494186.423;18527.841195307046
23697;7347;4;20;[384432.22, 397393.38, 397902.52, 385881.54, 426381.07, 406341.35, 421426.79, 394943.19, 393341.02, 374867.06, 390306.05, 395923.51, 382102.85, 416120.75, 397559.88, 370959.33, 391481.09, 377681.05, 427990.45, 414642.25];397383.8675;16735.585061214504
18757;10987;4;20;[433122.98, 482198.06, 479351.02, 455778.35, 467794.75, 463941.77, 493400.83, 422840.41, 440860.37, 495298.28, 489632.76, 428562.62, 495146.02, 474704.04, 459425.97, 476338.59, 508866.09, 466994.92, 435299.78, 456743.22];466315.0415;24748.767824835308
22917;12807;4;20;[369599.34, 379880.39, 487795.75, 429835.36, 387207.88, 367898.32, 358464.46, 436151.12, 348254.28, 370502.71, 384777.42, 388154.65, 440382.05, 423464.72, 366175.5, 363686.81, 394080.63, 394366.22, 385479.15, 350894.37];391352.5565;35474.77188152748
